customer_id,avg_order_value,days_since_last_order,total_orders,recency_score,frequency_score,monetary_score,app_opens_last_week,email_engagement,is_premium,neighborhood_id,courier_density,treatment,Y0,Y1,true_cate,segment,neighborhood_treatment_rate,outcome,expected_order_value,pred_cate
0,42.450712295168486,2.7125702081495806,11,0.9170786584212266,0.4969813299576001,0.8490142459033697,1,0.18228381131579485,0,48,3.6520816080821703,1,1,1,-0.04368035429900119,Other,1.0,1,27.780159580369407,-0.002400991816345855
1,32.92603548243223,1.0,6,0.9677419354838709,0.38918202981106265,0.6585207096486446,5,0.33278186671516413,0,44,3.928552687345138,1,1,0,-0.13165478154754484,Other,1.0,0,0.0,-0.002802649523344141
2,44.715328071510385,1.0,15,0.9677419354838709,0.5545177444479562,0.8943065614302077,3,0.1511038362676605,0,17,2.0719406228096555,0,1,1,0.1772997764457479,Other,0.0,1,51.302295648877305,0.021464429282981534
3,57.84544784612038,1.0,14,0.9677419354838709,0.541610040220442,1.1569089569224076,2,0.2529146768131062,0,28,3.0937516991436302,0,1,1,0.06972199212487196,Other,0.0,1,55.25184523579744,-0.01892883294803112
4,31.48769937914996,6.12049076613078,14,0.8305534992378951,0.541610040220442,0.6297539875829992,3,0.21790792197568135,0,28,3.0937516991436302,0,0,0,0.1579937410919965,Other,0.0,0,0.0,-0.011657815305911205
5,31.48794564576229,1.0,6,0.9677419354838709,0.38918202981106265,0.6297589129152459,3,0.30966234151756783,0,25,2.31401533716519,1,0,0,-0.09371280064111376,Other,1.0,0,0.0,-0.0019958622038230714
6,58.688192232610874,2.876090004944392,9,0.9125172730543126,0.46051701859880917,1.1737638446522174,2,0.24064858729108418,0,43,12.286506466260086,0,1,0,-0.14736257255231983,Other,0.0,1,54.58329201655262,-0.05461241174478039
7,46.51152093729363,9.794230454040711,5,0.7538781290078647,0.358351893845611,0.9302304187458726,4,0.10194150558972018,0,48,3.6520816080821703,1,1,1,0.0827529178876606,Other,1.0,1,36.79104835396878,-0.006726737617806529
8,27.95788421097572,2.440433217835745,4,0.9247718672112556,0.32188758248682003,0.5591576842195144,5,0.42454238444952563,0,22,4.903258687316376,0,1,1,-0.012117847819866912,Other,0.0,1,34.246138795407404,-0.04213106846983911
9,43.13840065378947,10.08697121017846,13,0.7483728277376744,0.5278114659230517,0.8627680130757893,3,0.09651049959965309,0,29,7.637496623057638,1,0,1,0.17268004224767886,Other,1.0,1,30.690701777462987,0.004719771244550734
10,28.048734607813067,9.578274548445288,12,0.757991608837795,0.5129898714923073,0.5609746921562614,4,0.3527517695723423,0,24,7.022512535260749,1,1,0,0.11752320527656923,Other,1.0,0,0.0,0.005677167256496186
11,28.014053696446148,1.9749356913101082,26,0.9382348815216901,0.6591673732008658,0.5602810739289229,2,0.6722141722369229,0,19,2.1027785773400516,1,1,1,0.012913096967398285,Sure Thing,1.0,1,25.661829206697316,0.025989731154708803
12,38.629434073490515,9.134863578842547,17,0.7665799048861097,0.5780743515792329,0.7725886814698103,3,0.2699332061908601,0,5,1.6074803571442489,0,0,0,-0.006722335126324974,Other,0.0,0,0.0,-0.00528327461960061
13,10.0,9.64208159592437,11,0.7567715617407014,0.4969813299576001,0.2,1,0.33935274296769735,0,7,2.96373980461867,0,1,1,-0.07930092972451369,Other,0.0,1,6.262332308203042,0.020796953838787033
14,10.0,3.546138012334458,11,0.8942907224959669,0.4969813299576001,0.2,2,0.49238165125163924,0,21,5.218934811525273,0,1,1,-0.020784825228005843,Other,0.0,1,1.9111177732447473,0.009311814957768562
15,26.56568706138541,1.6537831318487146,11,0.9477540133209308,0.4969813299576001,0.5313137412277082,2,0.3504483138964735,0,39,2.3933492676115473,1,1,0,-0.15774389373127595,Other,1.0,0,0.0,-0.00027539906463597795
16,19.80753319498364,5.156341402117341,5,0.853331114772745,0.358351893845611,0.3961506638996728,4,0.4085852886434416,0,36,2.191052085093987,1,1,1,0.05641750999797834,Other,1.0,1,-1.0594319339957998,-0.025800665268039587
17,39.71370998892911,17.80347025098187,10,0.6275695015966714,0.47957905455967414,0.7942741997785823,1,0.27304682301024774,0,48,3.6520816080821703,1,1,0,-0.2054748977135527,Other,1.0,0,0.0,0.07371795903814321
18,21.37963886718184,7.144110272023884,16,0.8076650586134871,0.5666426688112433,0.42759277734363677,2,0.6582480719112072,0,21,5.218934811525273,0,1,1,0.1502466823289802,Sure Thing,0.0,1,37.13037347708034,0.024645593730154944
19,13.815444479970626,1.3289981128726445,13,0.957579297362638,0.5278114659230517,0.2763088895994125,1,0.5613552505093662,1,33,2.028478066829827,0,0,1,0.17628344202537904,Other,0.0,0,0.0,0.03440575455237071
20,56.98473153382331,8.036608999979572,11,0.7887138414472256,0.4969813299576001,1.1396946306764661,3,0.315972746893697,0,10,2.9198867079959854,1,1,1,0.08017417321008691,Other,1.0,1,70.81740883865467,-0.035180752173290086
21,31.613355492701967,3.900567638861151,15,0.8849409343107923,0.5545177444479562,0.6322671098540393,3,0.2434667221933914,0,27,1.5510043853795643,0,0,1,0.26803708247973146,Other,0.0,0,0.0,-0.01528772417672002
22,36.012923070318855,6.267337037702892,19,0.827190592152176,0.5991464547107982,0.7202584614063771,4,0.2202923607863802,0,46,1.1174704073272999,0,1,1,0.21573953316569472,Other,0.0,1,26.082429829295005,-0.011693928693337671
23,13.628777206798148,9.271498126456281,16,0.7639127976070185,0.5666426688112433,0.27257554413596297,2,0.10206404027417292,1,15,1.234800302089862,0,0,1,-0.24071166570351255,Other,0.0,0,0.0,-0.03875870873476595
